name	unit	short_desc	long_desc
zone/Z14/air_temperature	F	zone air temperature, zone Z14 (1st floor)	Zone air temperature for zone Z14 (1st floor). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z15_Z16/air_temperature	F	zone air temperature, zone Z15_Z16 (1st floor)	Zone air temperature for zone Z15_Z16 (1st floor). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z17/air_temperature	F	zone air temperature, zone Z17 (1st floor)	Zone air temperature for zone Z17 (1st floor). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z21/air_temperature	F	zone air temperature, zone Z21 (2nd floor)	Zone air temperature for zone Z21 (2nd floor). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z22_Z23/air_temperature	F	zone air temperature, zone Z22_Z23 (2nd floor)	Zone air temperature for zone Z22_Z23 (2nd floor). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z24/air_temperature	F	zone air temperature, zone Z24 (2nd floor)	Zone air temperature for zone Z24 (2nd floor). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z25_Z26_Z27/air_temperature	F	zone air temperature, zone Z25_Z26_Z27 (2nd floor)	Zone air temperature for zone Z25_Z26_Z27 (2nd floor). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z31/air_temperature	F	zone air temperature, zone Z31 (3rd floor)	Zone air temperature for zone Z31 (3rd floor). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z32/air_temperature	F	zone air temperature, zone Z32 (3rd floor)	Zone air temperature for zone Z32 (3rd floor). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z33/air_temperature	F	zone air temperature, zone Z33 (3rd floor)	Zone air temperature for zone Z33 (3rd floor). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z01/valve	%	TABS valve opening, zone Z01 (basement)	TABS valve opening for zone Z01 (basement). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z02/valve	%	TABS valve opening, zone Z02 (basement)	TABS valve opening for zone Z02 (basement). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z03_Z04_Z05/valve	%	TABS valve opening, zone Z03_Z04_Z05 (basement)	TABS valve opening for zone Z03_Z04_Z05 (basement). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z11/valve	%	TABS valve opening, zone Z11 (1st floor)	TABS valve opening for zone Z11 (1st floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z12/valve	%	TABS valve opening, zone Z12 (1st floor)	TABS valve opening for zone Z12 (1st floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z13/valve	%	TABS valve opening, zone Z13 (1st floor)	TABS valve opening for zone Z13 (1st floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z14/valve	%	TABS valve opening, zone Z14 (1st floor)	TABS valve opening for zone Z14 (1st floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z15/valve	%	TABS valve opening, zone Z15 (1st floor)	TABS valve opening for zone Z15 (1st floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z16_Z17/valve	%	TABS valve opening, zone Z16_Z17 (1st floor)	TABS valve opening for zone Z16_Z17 (1st floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z21/valve	%	TABS valve opening, zone Z21 (2nd floor)	TABS valve opening for zone Z21 (2nd floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z22/valve	%	TABS valve opening, zone Z22 (2nd floor)	TABS valve opening for zone Z22 (2nd floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z23/valve	%	TABS valve opening, zone Z23 (2nd floor)	TABS valve opening for zone Z23 (2nd floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z24/valve	%	TABS valve opening, zone Z24 (2nd floor)	TABS valve opening for zone Z24 (2nd floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z25/valve	%	TABS valve opening, zone Z25 (2nd floor)	TABS valve opening for zone Z25 (2nd floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z26/valve	%	TABS valve opening, zone Z26 (2nd floor)	TABS valve opening for zone Z26 (2nd floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z27/valve	%	TABS valve opening, zone Z27 (2nd floor)	TABS valve opening for zone Z27 (2nd floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z31/valve	%	TABS valve opening, zone Z31 (3rd floor)	TABS valve opening for zone Z31 (3rd floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z32/valve	%	TABS valve opening, zone Z32 (3rd floor)	TABS valve opening for zone Z32 (3rd floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z33/valve	%	TABS valve opening, zone Z33 (3rd floor)	TABS valve opening for zone Z33 (3rd floor). Sensor: unknown (accuracy unknown, range 0% (closed) to 100% (fully open)). 19 [han24, Table 3] sensors total. Missing-data: Y1 0.39%, Y2 0%. [report, "Notices"] flags that on the second floor the open-office zones (Z21–Z27) are interconnected, so a zone's valve can stay closed even when local temperature drifts — neighbouring zone heating/airflow keeps the setpoint met. Don't expect 1:1 valve↔temperature alignment for floor-2 zones. Three system-wide valve gaps appear in Y1: 2022-12-17, 2023-01-28, 2023-02-13 (every zone simultaneous; likely BMS service events). Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z01/solar_damper	%	solar damper opening, zone Z01 (basement)	Solar damper opening for zone Z01 (basement). Sensor: unknown (range 0% (closed) to 100% (fully open)). Only one solar damper in the dataset (basement Z01).
zone/Z01/window_opening/south	%	window opening, zone Z01 (south-facing window, basement)	Window opening for zone Z01 (south-facing window, basement). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z03/window_opening/north	%	window opening, zone Z03 (north-facing window, basement)	Window opening for zone Z03 (north-facing window, basement). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z04/window_opening/north	%	window opening, zone Z04 (north-facing window, basement)	Window opening for zone Z04 (north-facing window, basement). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z05/window_opening/north	%	window opening, zone Z05 (north-facing window, basement)	Window opening for zone Z05 (north-facing window, basement). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z11/window_opening/east	%	window opening, zone Z11 (east-facing window, 1st floor)	Window opening for zone Z11 (east-facing window, 1st floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
